book_name,book_image,author,page,short_description,programming_language,concept,tool
The SQL Workshop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838642358-original_30.jpeg,By Frank Solomon,288,Cut through the noise and get real results with a step-by-step approach to learning SQL,SQL,Databases,SQL Server
Professional SQL Server High Availability and Disaster Recovery,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789802597_low.png,By Ahmad Osama,564,This detailed book teaches you high availability and disaster recovery strategies and solutions avai...,SQL,Databases,SQL Server
Mastering SQL Server 2017,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838983208-original.jpeg,By Miloš Radivojević,696,Leverage the power of SQL Server 2017 Integration Services to build data integration solutions with ...,SQL,Databases,SQL Server
Cassandra Design Patterns - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/7/5707os_4752_cassandra20design20patterns.jpg,By Rajanarayanan Thottuvaikkatumana,168,"Build real-world, industry-strength data storage solutions with time-tested design methodologies usi...",SQL,Design Patterns,Cassandra
Redis Applied Design Patterns,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/7/6713os_redis20applied20design20patterns_cover.jpg,By Arun Chinnachamy,100,Use Redis' features to enhance your software development through a wide range of practical design pa...,SQL,Design Patterns,Redis
Getting Started with SQL Server 2012 Cube Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/5/9502en.jpg,By Simon Lidberg,288,"Written specifically for SQL Server developers, this is a great primer on Analysis Services and cube...",SQL,Servers,Microsoft SQL Server Analysis Services
Microsoft SQL Server 2012 Integration Services: An Expert Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5245en_microsoft20sql20server20201220integration20services_frontcover.jpg,By Reza Rad,564,"Over 80 expert recipes to design, create, and deploy SSIS packages with this book and ebook",SQL,Servers,SQL Server
Learning SQL Server 2008 Reporting Services,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/1/6187_mockupcover.jpg,By Jayaram Krishnaswamy,536,A step-by-step book and eBook to getting the most of Microsoft SQL Server Reporting Services 2008,SQL,Servers,SQL Server
Swift iOS Programming for Kids,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover_1.png,By Steffen D. Sommer,260,Unleash your child's developer potential through fun projects and help them learn how to create iOS ...,Swift,iOS Development,iOS
Hands-On Full-Stack Development with Swift,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b09073_0.png,By Ankur Patel,356,"Build full-stack shopping list applications from scratch for web and mobile platforms using Xcode, V...",Swift,iOS Development,iOS
Learning iOS UI Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785288197.png,By Yari D'areglia,196,Implement complex iOS user interfaces with ease using Swift,Swift,iOS Development,iOS
iOS 12 Programming for Beginners - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789348668_cover.png,By Craig Clayton,692,Begin your iOS 12 app development journey with this practical guide,Swift,iOS Development,iOS
Mastering iOS 12 Programming - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10618.png,By Donny Wals,750,"Become a professional iOS developer with the most in-depth and advanced guide to Swift, Xcode 10, AR...",Swift,iOS Development,iOS
Getting Started with ResearchKit,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover_2.jpg,By Edward Cessna,136,Enter the era of medical research using mobile devices with the help of this guide on ResearchKit!,Swift,iOS Development,iOS
Application Development with Swift,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04586_mockupcover_normal.jpg,By Hossam Ghareeb,144,Develop highly efficient and appealing iOS applications by using the Swift language,Swift,iOS Development,iOS
Swift 4 Programming Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05768.png,By Keith Moon,384,Over 50 recipes to help you quickly and efficiently build applications with Swift 4 and Xcode 9,Swift,iOS Development,iOS
Test-Driven iOS Development with Swift 3,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/0/9078_b05912.png,By Dr. Dominik Hauser,216,Write testable and maintainable code to develop highly-functional iOS apps,Swift,iOS Development,iOS
Mastering Swift 2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05115_mastering20swift202_.jpg,By Jon Hoffman,408,Dive into the latest release of the Swift programming language with this advanced Apple development ...,Swift,iOS Development,iOS
Mastering Swift 4 - Fourth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08530_cover.png,By Jon Hoffman,392,Dive into the latest release of the Swift programming language with this advanced development book f...,Swift,iOS Development,iOS
Mastering Swift 3,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/1/6129os_5749_mastering20swift203.png,By Jon Hoffman,392,Dive into the latest release of the Swift programming language with this advanced Apple development ...,Swift,iOS Development,iOS
iOS 13 Programming for Beginners - Fourth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838821906-original_35.png,By Ahmad Sahar,822,A step-by-step guide to learning iOS app development and exploring the latest Apple development tool...,Swift,iOS Development,iOS
Swift: Developing iOS Applications,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/0/c06039.jpg,By Andrew J Wagner,1027,Unleash the power of Swift and discover the skills required to build incredible robust iOS applicati...,Swift,iOS Development,iOS
Swift Essentials - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785888878.png,By Dr Alex Blewitt,248,Discover how to build iOS and watchOS applications in Swift 2 using Xcode,Swift,iOS Development,iOS
Swift 2 Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783980765.png,By Cecil Costa,276,Sharpen your skills in Swift by designing and deploying seven fully functional applications,Swift,iOS Development,iOS
Application Development in iOS 7,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/3/0319ot.jpg,By Kyle Begeman,126,Learn how to build an entire real-world application using all of iOS 7's new features with this book...,Swift,iOS Development,iOS
Mastering Swift 3 - Linux,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/4/1414os_5764_mastering20swift20320-20linux.jpg,By Jon Hoffman,380,Learn to build fast and robust applications on the Linux Platform with Swift,Swift,iOS Development,Linux
Mastering macOS Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5623-final.png,By Stuart Grimshaw,626,"Take your macOS Sierra to the next level using the latest tools, designs, and best coding practices ...",Swift,iOS Development,MacOS
Swift 3 New Features,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/6/9632cov_.png,By Keith Elliott,142,A fast-paced guide to get you up and running with Swift 3 and its new features,Swift,iOS Development,Swift Playgrounds
SwiftUI Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781839214660-original_228.jpeg,By Craig Clayton,410,"Learn SwiftUI by building compelling user interfaces for watchOS, iPadOS, and iOS with Swift 5 and X...",Swift,iOS Development,Xcode
Learn Swift by Building Applications,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05769_cover.png,By Emil Atanasov,366,Start building your very own mobile apps with this comprehensive introduction to Swift and object-or...,Swift,iOS Development,Xcode
Mastering Swift,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781784392154.png,By Jon Hoffman,358,Master Apple's new Swift programming language by following the best practices to write efficient and...,Swift,iOS Development,Xcode
Learning Swift - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/5/7512os_5103_learning20swift20second20edition.jpg,By Andrew J Wagner,308,"Develop the skills required to create compelling, maintainable, and robust iOS and OS X apps with Sw...",Swift,iOS Development,Xcode
Object-Oriented Programming with Swift 2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785885693.png,By Gaston C. Hillar,332,Get to grips with object-oriented programming in Swift to efficiently build powerful real-world appl...,Swift,iOS Development,Xcode
iOS Programming Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05608_cover.png,By Hossam Ghareeb,520,Over 50 exciting and powerful recipes to help you unearth the promise of iOS programming,Swift,iOS Development,Xcode
Swift 2 By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/9/2920cov.jpg,By Giordano Scalzo,368,Create robust and extensible iOS apps using the advanced features of Swift 2,Swift,iOS Development,Xcode
Learn iOS 11 Programming with Swift 4 - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08289_cover.png,By Craig Clayton,812,"Begin your iOS development journey using Swift 4 and XCode 9 with this easy to learn, practical guid...",Swift,iOS Development,Xcode
Swift by Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/7/4700os_swift20by20example_0.jpg,By Giordano Scalzo,284,Learn Apple's premier programming language through creating funky and impressive applications,Swift,iOS Development,Xcode
iOS 10 Programming for Beginners,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/5/4507_5628_ios201020programming20for20beginners.png,By Craig Clayton,678,"Begin your iOS mobile application development journey with this accessible, practical guide",Swift,iOS Development,Xcode
SwiftUI Essentials – iOS 14 Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781801813228-original_17.jpeg,By Neil Smyth,494,Acquire and hone the skills to develop iOS apps for iPhone and iPad devices using the Xcode developm...,Swift,iOS Development,Xcode
SwiftUI Essentials - iOS Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781951442057-original_92.jpeg,By Neil Smyth,813,Learn the ropes of application development for iOS 13,Swift,iOS Development,Xcode
Xcode 6 Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b03791_4431en_mockupcover_normal.jpg,By Jayant Varma,160,Create exciting native apps for your Apple devices with Xcode,Swift,iOS Development,Xcode
Cocos2d Cross-Platform Game Development Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/2/3236os_3749_20cocos2d20cross-platform20game20development20cookbook20-20second20edition.jpg,By Siddharth Shekar,384,Develop games for iOS and Android using Cocos2d with the aid of over 70 step-by-step recipes,Swift,Mobile Game Development,Cocos2d
iOS 9 Game Development Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04036_ios20game20development20essentials_.jpg,By Chuck Gaffney,224,"Design, build, and publish an iOS game from scratch using the stunning features of iOS 9",Swift,Mobile Game Development,iOS
iPhone Game Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/2/0263ot_iphone20game20blueprints_cov.jpg,By Igor Uduslivii,358,"If you’re looking for inspiration for your first or next iPhone game, look no further. This brillian...",Swift,Mobile Game Development,iOS
Swift Game Development - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08760_0.png,By Siddharth Shekar,434,Embrace the mobile gaming revolution by creating popular iOS games with Swift 4.2,Swift,Mobile Game Development,SpriteKit
iOS Game Development By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/6/4694os_ios20game20development20by20example_.jpg,By Samanyu Chopra,220,"Learn how to develop an ace game for your iOS device, using Sprite Kit",Swift,Mobile Game Development,SpriteKit
Game Development with Swift,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/5/0531ot_game20deve20lopment20with20swift.jpg,By Stephen Haney,224,Embrace the mobile gaming revolution and bring your iPhone game ideas to life with Swift,Swift,Mobile Game Development,SpriteKit
Swift 3 Game Development - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05901.png,By Stephen Haney,258,Embrace the mobile gaming revolution by creating popular iOS Games with Swift 3.0,Swift,Mobile Game Development,SpriteKit
